"",".id","name","chrom","start","end","subject","AGI","At_symbol","At_description","perc_ID","aln_length","mismatch","gap_open","qstart","qend","sstart","send","eval","score"
"1","QTL1","Bra029075","A03",6226990,6229080,"AT5G53320.1","AT5G53320",NA,NA,84.361,1816,247,10,99,1891,1,1802,0,1983
"2","QTL1","Bra029076","A03",6229955,6231513,"AT5G53300.1","AT5G53300","UBC10","Encodes a ubiquitin conjugating enzyme.",93.905,443,27,0,181,623,1,443,0,677
"3","QTL1","Bra029079","A03",6250806,6252396,"AT5G53290.1","AT5G53290","CRF3","encodes a member of the ERF (ethylene response factor) subfamily B-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.",75.14,1074,187,16,309,1315,5,1065,0,733
"4","QTL1","Bra029080","A03",6257907,6260231,"AT5G58230.1","AT5G58230","ATMSI1;MEE70;MSI1","Encodes a WD-40 repeat containing protein that functions in chromatin assembly as part of the CAF1 and FIE complex. Mutants exhibit parthenogenetic development that includes proliferation of unfertilized endosperm and embryos. In heterozygous plants 50% of embryos abort. Of the aborted embryos the early aborted class are homozygous and the later aborting lass are heterozygotes in which the defective allele is maternally transmitted. Other phenotypes include defects in ovule morphogenesis and organ initiation,as well as increased levels of heterochromatic DNA. MSI1 is needed for the transition to flowering. In Arabidopsis, the three CAF-1 subunits are encoded by FAS1, FAS2 and, most likely, MSI1, respectively. Mutations in FAS1 or FAS2 lead to increased frequency of homologous recombination and T-DNA integration in Arabidopsis. In the ovule, the MSI1 transcripts are accumulated at their highest level before fertilization and gradually decrease after fertilization. MSI is biallelically expressed, the paternall allele is expressed in the endosperm and embryo and is not imprinted. MSI1 forms a complex with RBR1 that is required for activation of the imprinted genes FIS2 and FWA. This activation is mediated by MSI1/RBR1 mediated repression of MET1.",84.091,176,28,0,73,248,274,449,3.28e-48,192
"5","QTL1","Bra029081","A03",6271022,6278156,"AT5G02050.1","AT5G02050",NA,NA,78.033,305,58,3,385,683,496,797,2.09e-63,242
"6","QTL1","Bra029083","A03",6284270,6284937,"AT5G02050.1","AT5G02050",NA,NA,79.853,273,49,1,282,548,522,794,1.41e-64,246
"7","QTL1","Bra029084","A03",6287138,6288184,"AT5G53280.1","AT5G53280","PDV1","An integral outer envelope membrane protein (as its homolog PDV2), component of the plastid division machinery. Similar to ARC5, PDV1 localized to a discontinuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site. Topological analysis showed that the large N-terminal region of PDV1 upstream of the transmembrane helix bearing a putative coiled-coil domain is exposed to the cytosol. Mutation of the conserved PDV1 C-terminal Gly residue did not block PDV1 insertion into the outer envelope membrane but did abolish its localization to the division site.",80.352,738,118,8,55,789,723,10,0,666
"8","QTL1","Bra029085","A03",6290639,6291247,"AT5G53260.1","AT5G53260",NA,NA,80.98,510,91,2,8,517,8,511,1.22e-134,479
"9","QTL1","Bra029086","A03",6292181,6293025,"AT5G53250.1","AT5G53250","AGP22;ATAGP22",NA,90.625,192,18,0,224,415,192,1,2.06e-70,266
"10","QTL1","Bra029087","A03",6293054,6295145,"AT5G53220.1","AT5G53220",NA,NA,71.181,1152,206,21,285,1358,1107,4,1.87e-170,600
"11","QTL1","Bra029088","A03",6301917,6304320,"AT5G53210.1","AT5G53210","SPCH","Encodes a basic helix-loop-helix (bHLH) transcription factor that is necessary and sufficient for the asymmetric divisions that establish the stomatal lineage in Arabidopsis thaliana.  Expression of SPCH in young epidermal cells allows these cells to make asymmetric divisions.  SPCH is a substrate of a kinase MPK3 and MPK6.",88.137,1079,95,4,147,1192,17,1095,0,1380
"12","QTL1","Bra029089","A03",6306623,6308221,"AT5G53200.1","AT5G53200","TRY",NA,93.506,154,10,0,958,1111,154,1,2.03e-60,233
"13","QTL1","Bra029090","A03",6315995,6316671,"AT5G53190.1","AT5G53190","AtSWEET3;SWEET3",NA,76.573,286,46,6,258,529,501,779,1.52e-52,206
"14","QTL1","Bra029091","A03",6320071,6323293,"AT5G53180.1","AT5G53180","ATPTB2;PTB2","Encodes one of the two polypyrimidine tract-binding (PTB) protein homologs in the Arabidopsis genome. Double mutants have defects in pollen germination.",85.188,1303,146,7,121,1389,1,1290,0,1490
"15","QTL1","Bra029092","A03",6323297,6325131,"AT5G53170.1","AT5G53170","FTSH11","encodes an FtsH protease that is localized to the chloroplast and the mitochondrion",86.31,168,22,1,129,295,1908,2075,1.79e-49,196
