name,UN_network,MR_Cutoff,.id,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,FVTtrait,AveExpr.UN,F.UN,P.Value.UN,adj.P.Val.UN,rank_F.UN
Bra000001,NA,NA,QTL13,A03,8794389,8797343,AT2G37440.1,AT2G37440,"NA","NA",84.957,1509,149,7,239,1744,1,1434,0,1737,UNiD2012,NA,NA,NA,NA,NA
Bra000002,NA,NA,QTL13,A03,8797641,8800479,AT2G37460.1,AT2G37460,UMAMIT12,"NA",86.759,1080,141,2,268,1346,1079,1,0,1296,UNiD2012,NA,NA,NA,NA,NA
Bra000003,NA,NA,QTL13,A03,8811737,8813527,AT2G37480.1,AT2G37480,"NA","NA",83.051,590,75,7,712,1281,1,585,3.63e-172,605,UNiD2012,5.6831920232916024,1.024461808621783,0.42760296100301454,0.45961987499660384,1998
Bra000004,NA,NA,QTL13,A03,8816600,8817498,AT2G37530.1,AT2G37530,"NA","NA",81.918,365,63,2,258,622,1,362,6.01e-97,354,UNiD2012,3.1935376074081887,2.564413849929482,2.0912161470612608e-11,8.252028149201958e-11,21404
Bra000005,NA,NA,QTL13,A03,8818079,8820313,AT2G37550.1,AT2G37550,AGD7;ASP1,"A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes.",82.841,1218,161,9,307,1485,1209,1,0,1258,UNiD2012,4.4833289593920185,1.380175696104712,0.013918089479180275,0.018206049880869688,6753
Bra000006,NA,NA,QTL13,A03,8820620,8821103,AT3G53730.1,AT3G53730,"NA","NA",85.065,308,46,0,123,430,308,1,1.34e-95,349,UNiD2012,6.119347095062532,1.0629167723574025,0.33452032870750253,0.3651118854559766,2403
Bra000007,NA,NA,QTL13,A03,8823354,8824297,AT2G37580.1,AT2G37580,"NA","NA",78.601,729,117,10,145,855,1,708,2.69e-171,601,UNiD2012,-0.10536852198509658,2.0696214260453996,2.1851032627640242e-7,5.313643255315892e-7,16880
Bra000008,NA,NA,QTL13,A03,8829143,8830857,AT2G37590.1,AT2G37590,ATDOF2.4;DOF2.4,"NA",81.733,750,77,7,165,866,1,738,0,758,UNiD2012,0.6130626913145649,8.444706520255314,1.7611745607510636e-52,3.5331947031218676e-51,27240
Bra000009,NA,NA,QTL13,A03,8832443,8836202,AT2G37600.1,AT2G37600,"NA","NA",88.131,337,37,1,362,695,337,1,1.4e-118,426,UNiD2012,7.648878471973956,1.6646464589725596,2.2789471056904243e-4,3.752820703425417e-4,11260
Bra000010,NA,NA,QTL13,A03,8839957,8842454,AT2G37620.1,AT2G37620,AAc1;ACT1,Member of the actin gene family. Expressed in mature pollen.,91.519,1132,96,0,223,1354,1,1132,0,1609,UNiD2012,3.0029383696371426,2.5443196052723103,3.066607629966491e-11,1.1889844135228477e-10,21275
