name,UN_network,MR_Cutoff,.id,FVTtrait,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,AveExpr.UN,F.UN,P.Value.UN,adj.P.Val.UN,rank_F.UN
Bra005991,NA,NA,QTL3,UNiD,A03,1520214,1521869,AT5G08400.2,AT5G08400,NA,NA,89.369,903,87,2,1,894,903,1,0,1195,3.37844719021233,2.390651803269209,5.656791089253867e-10,1.8989331024207246e-9,20129
Bra005992,NA,NA,QTL3,UNiD,A03,1523604,1526070,AT5G08415.1,AT5G08415,LIP1,NA,89.103,1193,106,4,224,1401,1184,1,0,1570,4.881841301611807,3.885653208036692,3.144067694161309e-22,2.704294409127405e-21,25336
Bra005994,NA,NA,QTL3,UNiD,A03,1527639,1532446,AT5G08450.1,AT5G08450,HDC1;RXT3-like,NA,81.433,2806,300,32,220,2853,2757,1,0,2767,6.691202451396365,1.0759624142139963,0.3054278481461667,0.3354647683528564,2568
Bra005995,NA,NA,QTL3,UNiD,A03,1533936,1538437,AT5G08490.1,AT5G08490,SLG1,NA,86.777,2541,330,2,1191,3731,2550,16,0,3065,-0.023489766773228962,1.4252602649700783,0.00772422167660944,0.010440755670943441,7460
Bra005996,NA,NA,QTL3,UNiD,A03,1533936,1538437,AT5G08490.1,AT5G08490,SLG1,NA,86.777,2541,330,2,1299,3839,2550,16,0,3065,0.7519975182659909,0.9593412989224149,0.5990398943264414,0.6296573913085878,1395
Bra005997,NA,NA,QTL3,UNiD,A03,1541015,1541396,AT5G08520.1,AT5G08520,NA,NA,86.28,379,52,0,3,381,379,1,4.15e-126,450,0.31889009876773555,1.431673744337523,0.007087849082365328,0.009625051276265891,7558
Bra005998,NA,NA,QTL3,UNiD,A03,1542995,1545563,AT5G08530.1,AT5G08530,CI51,NA,92.281,1464,110,1,307,1770,1461,1,0,2129,5.723042292495748,5.035556098834537,5.837173145118293e-31,6.866642582037392e-30,26232
Bra005999,NA,NA,QTL3,UNiD,A03,1545681,1547538,AT2G37220.1,AT2G37220,NA,Encodes a chloroplast RNA binding protein.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase). Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.,70.347,317,51,6,35,323,1,302,1.33e-38,159,1.326289897035896,14.666696228336269,1.9585938527584727e-80,6.889443996426981e-79,27854
Bra006000,NA,NA,QTL3,UNiD,A03,1553529,1555448,AT5G08540.1,AT5G08540,NA,NA,79.124,1073,146,12,129,1171,1,1025,0,942,8.575726083742035,2.333390505764729,1.6631192355495823e-9,5.274148478399936e-9,19629
Bra006001,NA,NA,QTL3,UNiD,A03,1566622,1568364,AT5G05990.1,AT5G05990,NA,NA,82.4,125,14,4,42,166,447,563,2.88e-25,116,NA,NA,NA,NA,NA
Bra006003,NA,NA,QTL3,UNiD,A03,1571614,1575304,AT5G08550.1,AT5G08550,ILP1,Encodes a transcriptional repressor that is  homologous to the C-terminal region of mammalian GC binding factor.  It regulates endoreduplication through control of CYC2A expression.,90.417,960,92,0,5,964,2726,1767,0,1317,2.27828248576373,10.2861117110079,5.939227590448592e-62,1.4690748624933583e-60,27510
Bra006004,NA,NA,QTL3,UNiD,A03,1576686,1580002,AT5G08560.1,AT5G08560,NA,NA,86.869,1782,210,6,250,2019,1770,1,0,2154,4.590289255762485,6.9271250734334044,1.237596711612817e-43,2.073607395003871e-42,26958
Bra006007,NA,NA,QTL3,UNiD,A03,1593860,1595196,AT5G08565.1,AT5G08565,NA,NA,87.464,351,44,0,25,375,1,351,1.5e-121,435,5.028492700980325,2.778947246528471,3.467223063652553e-13,1.6329612418069885e-12,22582
Bra006008,NA,NA,QTL3,UNiD,A03,1595664,1597676,AT5G08570.1,AT5G08570,NA,NA,88.178,1531,181,0,126,1656,1,1531,0,1945,3.638549478761139,1.503337876194596,0.0026192570684421255,0.0037651738273127844,8726
Bra006009,NA,NA,QTL3,UNiD,A03,1596433,1600477,AT5G08580.1,AT5G08580,NA,NA,85.618,1182,134,2,1727,2878,1176,1,0,1389,5.442691531807883,13.244819844667585,5.984355254995332e-75,1.92980310967611e-73,27780
Bra006010,NA,NA,QTL3,UNiD,A03,1601029,1603563,AT5G08590.1,AT5G08590,ASK2;SNRK2-1;SNRK2.1;SRK2G,Encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress. Similar to the calcium/calmodulin-dependent protein kinase subfamily and the SNF1 kinase subfamily.,88.949,1104,80,3,1,1104,1,1062,0,1465,4.602157667874342,1.034916540018829,0.4013509808213669,0.43308234835823356,2102
Bra006011,NA,NA,QTL3,UNiD,A03,1604126,1605968,AT5G02700.1,AT5G02700,NA,NA,66.861,1373,333,30,28,1372,79,1357,2.51e-110,399,-0.02734424964793203,4.401612181061628,3.0334968966057673e-26,3.044968103357638e-25,25813
Bra006012,NA,NA,QTL3,UNiD,A03,1611374,1614527,AT5G08630.1,AT5G08630,NA,NA,86.612,2181,247,3,1,2145,2172,1,0,2645,4.0201004107403,4.259035473593183,3.7671420574085805e-25,3.63501947161862e-24,25698
Bra006013,NA,NA,QTL3,UNiD,A03,1619885,1622697,AT5G08690.1,AT5G08690,NA,"Encodes the mitochondrial ATP synthase beta-subunit.  This subunit is encoded by a multigene family of three members (At5g08670, At5g08680, At5g08690) that shared 98% sequence identity at the amino acid level.",89.826,1671,164,2,267,1931,1671,1,0,2244,8.187114289152698,2.4442256378090166,2.0536719463436588e-10,7.255936327061869e-10,20555
Bra006014,NA,NA,QTL3,UNiD,A03,1623357,1627533,AT5G08680.1,AT5G08680,NA,"Encodes the mitochondrial ATP synthase beta-subunit.  This subunit is encoded by a multigene family of three members (At5g08670, At5g08680, At5g08690) that shared 98% sequence identity at the amino acid level.",92.14,1196,94,0,1079,2274,484,1679,0,1734,7.133159971208585,5.540744515762523,1.5208381397809103e-34,1.98630468297217e-33,26474
